"filename", "language", "TypeScript", "CSS", "XML", "comment", "blank", "total"
"c:\programming\game systems\battle system\src\BattleEvents\BattleEvent.ts", "TypeScript", 43, 0, 0, 1, 8, 52
"c:\programming\game systems\battle system\src\BattleEvents\Events\ActorMoveEvent.ts", "TypeScript", 29, 0, 0, 2, 5, 36
"c:\programming\game systems\battle system\src\BattleEvents\Events\AttackMeter.ts", "TypeScript", 34, 0, 0, 0, 3, 37
"c:\programming\game systems\battle system\src\BattleEvents\Events\CastMatterEvent.ts", "TypeScript", 36, 0, 0, 0, 5, 41
"c:\programming\game systems\battle system\src\BattleEvents\Events\DissolveEvent.ts", "TypeScript", 57, 0, 0, 1, 8, 66
"c:\programming\game systems\battle system\src\BattleEvents\Events\GetMenuSelection.ts", "TypeScript", 49, 0, 0, 2, 7, 58
"c:\programming\game systems\battle system\src\BattleEvents\Events\KnifeThrow.ts", "TypeScript", 40, 0, 0, 0, 4, 44
"c:\programming\game systems\battle system\src\BattleEvents\Events\LungeEvent.ts", "TypeScript", 41, 0, 0, 2, 6, 49
"c:\programming\game systems\battle system\src\BattleEvents\Events\MoveActorsToNearestTile.ts", "TypeScript", 40, 0, 0, 2, 6, 48
"c:\programming\game systems\battle system\src\BattleEvents\Events\RangedAttack.ts", "TypeScript", 28, 0, 0, 0, 5, 33
"c:\programming\game systems\battle system\src\BattleEvents\Events\RangedLoadEvent.ts", "TypeScript", 17, 0, 0, 0, 3, 20
"c:\programming\game systems\battle system\src\BattleEvents\Events\applyEffect.ts", "TypeScript", 23, 0, 0, 0, 4, 27
"c:\programming\game systems\battle system\src\BattleEvents\Events\castTime.ts", "TypeScript", 37, 0, 0, 0, 5, 42
"c:\programming\game systems\battle system\src\BattleEvents\Events\checkIfEnemyDead.ts", "TypeScript", 74, 0, 0, 1, 9, 84
"c:\programming\game systems\battle system\src\BattleEvents\Events\closeBattleMenu.ts", "TypeScript", 13, 0, 0, 0, 3, 16
"c:\programming\game systems\battle system\src\BattleEvents\Events\closeInventory.ts", "TypeScript", 35, 0, 0, 2, 4, 41
"c:\programming\game systems\battle system\src\BattleEvents\Events\endBattle.ts", "TypeScript", 16, 0, 0, 0, 4, 20
"c:\programming\game systems\battle system\src\BattleEvents\Events\itemEffectEvent.ts", "TypeScript", 64, 0, 0, 7, 10, 81
"c:\programming\game systems\battle system\src\BattleEvents\Events\magicBulletEffect.ts", "TypeScript", 38, 0, 0, 0, 7, 45
"c:\programming\game systems\battle system\src\BattleEvents\Events\magicBulletEvent.ts", "TypeScript", 57, 0, 0, 0, 8, 65
"c:\programming\game systems\battle system\src\BattleEvents\Events\magicIncantation.ts", "TypeScript", 46, 0, 0, 2, 6, 54
